TYPE,CLIENT,YEAR,MAKE,MODEL,COLOR,TAG,VIN,STREET,CITY,ZIP,GPS,SPOTTER,DRIVER,NOTES,STATUS
GPS,Fifth Third Bank,2014,Toyota,Corolla,Red,GA-KJO9901,8J96UNHYL6TMAYVNM,6743 Walnut Rd,Decatur,30046,"33.750208, -84.476154",Olivia Thomas,Maria Thomas,"Coords 33.750208, -84.476154",Located
IMP,PNC Bank,2015,Hyundai,Elantra,Black,GA-JSX1187,T0SDH6WL29WHV0RRJ,2609 Chestnut Rd,Sandy Springs,30214,"33.825485, -84.271801",,Olivia Brown,"Coords 33.825485, -84.271801",Located
GPS,Hyundai Capital,2022,Nissan,Altima,Green,TX-CSD-2011,9NKLX5HP8F95D6J93,9339 Main Blvd,Arlington,76378,"32.897867, -96.741318",,Olivia Brown,,Towed
GPS,Chase Bank,2015,Subaru,Outback,Blue,MD-CPB393,3MJ301511FJZHM2JR,472 Elm Blvd,Baltimore,21690,"39.316628, -76.620933",Ava Garcia,John Anderson,,Dispatched
DRN,US Bank,2019,Nissan,Altima,Silver,TX-ZVN-1256,SPEGC5DSC25RPDJ9V,9538 Cedar Rd,Plano,75486,"32.761476, -96.932724",William Garcia,,"Coords 32.761476, -96.932724",Located
BLOCKED,Wells Fargo,2016,Kia,Sorento,Silver,TX-RPB-6642,1X33KW1M7SRWK6D33,8783 Pine Blvd,Garland,75498,"32.748849, -96.871013",,,,Blocked
GPS,Santander Consumer,2013,Hyundai,Elantra,Blue,GA-CGZ4555,7PYWAPNH7SP2SXV16,5986 Elm Rd,Decatur,30186,"33.778204, -84.375681",James Thomas,Michael Rodriguez,,Located
IMP,Regions Bank,2015,Hyundai,Elantra,Silver,GA-AIR7841,VKNYR1S8YT886LZLJ,8100 Pine St,Decatur,30270,"33.658456, -84.288326",Mia Johnson,James Brown,"Coords 33.658456, -84.288326",Located
GPS,TD Auto Finance,2018,Honda,Civic,White,MD-8VP1257,A3ABUVB94MGGKSNTZ,6602 Oak Rd,Columbia,21983,"39.257145, -76.59135",,Sarah Johnson,"Coords 39.257145, -76.59135",Blocked
GPS,Chase Bank,2022,Chevrolet,Malibu,Green,TX-BUA-3807,F84YGCRP7UCEUCMXB,9717 Pine Blvd,Plano,76903,"32.700773, -96.926391",,Michael Rodriguez,,Located
MI,SunTrust Auto,2020,Jeep,Grand Cherokee,Silver,GA-BDN4803,EY2XBU58RZ14M1FVS,1444 Elm Ave,Atlanta,30196,"33.827919, -84.341525",,,"Coords 33.827919, -84.341525",Stashed
DRN,Capital One,2013,Hyundai,Elantra,Black,AZ-ECF8061,593GBFZFX1AV31FSL,2877 Pine Rd,Scottsdale,85617,"33.393942, -112.148923",William Brown,John Anderson,,Towed
DRN,Chase Bank,2016,Kia,Sorento,Gray,AZ-TTG8501,GJWA2Y1Y5Y4JWXN7X,6624 Cedar Rd,Mesa,86506,"33.543235, -112.028147",,Emily Rodriguez,,Located
DRN,SunTrust Auto,2018,Hyundai,Elantra,Silver,TX-VYR-1440,6P5VE38JWSTK41E57,6666 Park Blvd,Garland,76114,"32.689927, -96.660419",Sarah Thomas,James Brown,"Coords 32.689927, -96.660419",Located
MI,BB&T Auto,2024,Toyota,Camry,White,MD-KZN208,AGTR9R50269KZB7GV,1506 Oak Ave,Glen Burnie,21357,"39.239259, -76.61438",,James Brown,,Stashed
IMP,Navy Federal CU,2019,Hyundai,Elantra,Black,GA-AKU2791,LSMLY46R2MM42BN54,172 Maple Ave,Sandy Springs,30144,"33.838081, -84.297818",Michael Smith,William Lee,,Dispatched
MI,Regions Bank,2014,Honda,Accord,Silver,MD-UKT497,2HZZ6MWFJXHSWHM0K,6464 Walnut Ave,Towson,21589,"39.252905, -76.670992",,William Lee,"Coords 39.252905, -76.670992",Towed
MI,Fifth Third Bank,2014,Honda,Accord,Gray,TX-LAP-3236,N19838358LFBRVCUR,4829 Pine Blvd,Garland,76159,"32.88048, -96.727247",Mia Wilson,John Anderson,,Located
DRN,Ford Motor Credit,2013,Ford,Escape,Silver,MD-NDX949,SWC5TZF5HSPZ4LJPP,9440 Cedar Rd,Baltimore,21612,"39.282366, -76.642033",,Sarah Rodriguez,"Coords 39.282366, -76.642033",Towed
GPS,Toyota Financial,2016,Ford,Escape,Green,AZ-WEH3396,XS28KU315EF29U068,9634 Main St,Glendale,86497,"33.640253, -111.977806",John Brown,Michael Rodriguez,"Coords 33.640253, -111.977806",Located
MI,Citizens Bank,2018,Honda,Accord,White,MD-ESP907,YDCG6BHL56A4NJWLU,6005 Elm St,Baltimore,21381,"39.306257, -76.573729",,Maria Thomas,,Towed
IMP,TD Auto Finance,2023,Subaru,Outback,Green,AZ-GPC3174,R5AAYH4J7ER1FGGX0,2346 Walnut Ave,Glendale,86314,"33.647529, -112.150001",Ava Garcia,William Lee,,Stashed
DRN,Navy Federal CU,2022,Ford,Escape,White,MD-TVO980,PFGJH1Z4XJSUFSVBW,8582 Broadway Ave,Annapolis,21766,"39.254433, -76.574304",James Moore,Emily Rodriguez,"Coords 39.254433, -76.574304",Blocked
IMP,TD Auto Finance,2018,Toyota,Corolla,Black,TX-LKE-7337,30M7EBEATPCD29V93,6690 Oak Ave,Arlington,75569,"32.702571, -96.953923",Maria Anderson,James Brown,"Coords 32.702571, -96.953923",Stashed
GPS,GM Financial,2017,Honda,Accord,Gray,TX-BHC-8118,H6DWMHAJAL8ZTL0JU,580 Cedar Blvd,Dallas,75558,"32.821441, -96.893227",Robert Moore,,"Coords 32.821441, -96.893227",Located
GPS,BB&T Auto,2019,Toyota,Corolla,Blue,MD-2SV2889,R9ACASC701KMC3RXS,5341 Elm St,Glen Burnie,21586,"39.250834, -76.604571",David Martinez,James Brown,"Coords 39.250834, -76.604571",Towed
IMP,Wells Fargo,2024,Nissan,Altima,Blue,TX-KCR-8483,A0NVWS608NSKA3BRZ,5588 Main Blvd,Dallas,76739,"32.879282, -96.878521",,Olivia Brown,,Located
DRN,US Bank,2019,Kia,Sorento,Black,TX-WLO-2391,G9J2ED4JSVTX2XX5U,1323 Maple Ave,Plano,76598,"32.88794, -96.944039",,Sarah Rodriguez,,Located
BLOCKED,Bank of America,2017,Toyota,Corolla,Gray,GA-IDC3582,WCPXKFSZ29DWTMB25,9113 Maple St,Decatur,30238,"33.675477, -84.301548",,Emily Rodriguez,,Blocked
DRN,SunTrust Auto,2014,Nissan,Altima,White,MD-CAC302,5JFYHC6DL428B14MZ,3166 Elm Rd,Annapolis,21457,"39.347851, -76.702724",,,"Coords 39.347851, -76.702724",Stashed
BLOCKED,Citizens Bank,2016,Jeep,Grand Cherokee,Gray,TX-ENG-9614,SB1Z78Z9X1UMBXRBU,7828 Park Rd,Dallas,76571,"32.837677, -96.903188",,Sarah Rodriguez,,Blocked
GPS,Ford Motor Credit,2015,Jeep,Grand Cherokee,Silver,TX-FFH-6210,ZBZKN8WM8CFDRRB7A,3400 Pine Rd,Irving,76469,"32.727914, -96.7152",,Emily Rodriguez,"Coords 32.727914, -96.7152",Blocked
GPS,US Bank,2014,Honda,Civic,Blue,MD-KJK239,L48XMZRM1WVJMA2CM,5313 Broadway Ave,Towson,21655,"39.287455, -76.513296",,John Anderson,,Towed
GPS,Ally Financial,2017,Nissan,Altima,Silver,MD-5GH2110,ZTGAD153L381Z1G7R,7493 Oak St,Annapolis,21302,"39.183815, -76.655163",,,,Blocked
BLOCKED,Chase Bank,2018,Ford,F-150,White,AZ-WAN3703,4LDGYPN3TVWSGD28K,6011 Main Blvd,Phoenix,85180,"33.403092, -111.968293",,John Anderson,"Coords 33.403092, -111.968293",Blocked
DRN,Ally Financial,2012,Toyota,Camry,White,TX-ZMP-9013,TF1M010M5CT56TRUD,1684 Oak Rd,Plano,76656,"32.826191, -96.659667",,Olivia Brown,,Located
IMP,Ford Motor Credit,2020,Kia,Sorento,Gray,MD-1QS9467,KH5MLPNJC4F4NKTXE,6458 Park Blvd,Baltimore,21566,"39.241964, -76.651998",Sophia Brown,Emily Rodriguez,,Towed
IMP,Toyota Financial,2021,Subaru,Outback,Blue,MD-SYD904,VZ3T187CMU2K2C2YS,7885 Elm Rd,Baltimore,21021,"39.244195, -76.543333",David Lee,Michael Rodriguez,,Located
MI,TD Auto Finance,2022,Subaru,Outback,Black,GA-XNT2462,N5P380D9LEW92JBMN,1044 Maple St,Marietta,30235,"33.66264, -84.409906",,,,Located
GPS,Bank of America,2020,Toyota,Corolla,Gray,AZ-FPS6730,ZLTFVB1DLPRRPU39B,7867 Pine Ave,Phoenix,86232,"33.580303, -112.12168",,John Anderson,"Coords 33.580303, -112.12168",Located
IMP,PNC Bank,2023,Subaru,Outback,Red,AZ-OJV9530,2GA90VWG7EYUXUTWN,8575 Maple St,Mesa,86650,"33.60006, -111.91649",Sophia Brown,John Anderson,,Dispatched
IMP,Capital One,2014,Jeep,Grand Cherokee,Red,AZ-XBS4111,YR7Z9WLMVG7JTMYFR,3759 Elm Blvd,Glendale,86615,"33.610395, -112.069911",,Maria Thomas,,Located
BLOCKED,GM Financial,2019,Toyota,Camry,Black,GA-VMQ5888,3DKJNY36KXMF8YMXD,7506 Elm Ave,Atlanta,30391,"33.843386, -84.35593",Sophia Johnson,William Lee,,Blocked
IMP,Citizens Bank,2021,Ford,F-150,Gray,MD-XLA429,NBASRZWJG19WLECWV,8624 Broadway Rd,Glen Burnie,21445,"39.348715, -76.500951",Robert Smith,Olivia Brown,,Dispatched
IMP,Ally Financial,2024,Hyundai,Elantra,White,GA-GXA9267,LH0C1TDDGBDH351HT,2608 Maple St,Sandy Springs,30156,"33.755218, -84.474755",Sarah Moore,Emily Rodriguez,,Located
GPS,Hyundai Capital,2013,Kia,Sorento,Blue,TX-GTG-5308,NZ3VLC8P7YSAAFH8K,8483 Oak St,Dallas,76853,"32.749091, -96.903717",,William Lee,"Coords 32.749091, -96.903717",Located
MI,Bank of America,2019,Chevrolet,Malibu,Black,AZ-NXD2556,CAJLYZ5UF0YMH226U,7935 Walnut Ave,Scottsdale,85232,"33.346379, -111.945756",,Maria Thomas,"Coords 33.346379, -111.945756",Located
BLOCKED,American Credit Acceptance,2018,Toyota,Camry,Blue,TX-YLT-1472,J78H35CETXARYG4S7,6405 Pine St,Irving,75024,"32.853718, -96.928214",,Olivia Brown,"Coords 32.853718, -96.928214",Blocked
DRN,American Credit Acceptance,2013,Ford,F-150,Green,GA-RUM7607,SF655F85XH8BG23CA,9999 Broadway Rd,Atlanta,30262,"33.790583, -84.336351",Michael Smith,John Anderson,,Located
IMP,TD Auto Finance,2012,Hyundai,Elantra,Green,AZ-WVL8414,HGRAYZV0GCL8J3GTN,2078 Walnut Ave,Mesa,85937,"33.588594, -112.133297",,Sophia Rodriguez,,Dispatched
GPS,GM Financial,2022,Honda,Civic,Green,GA-PAQ1795,479MMJG1X913SU2YV,2285 Pine Blvd,Sandy Springs,30310,"33.825004, -84.312893",Sophia Rodriguez,Olivia Brown,,Other
MI,Santander Consumer,2023,Subaru,Outback,Blue,AZ-VEW3913,9XHZ73V4AGB1KDDNU,4795 Elm Ave,Mesa,86720,"33.321711, -111.925475",,James Brown,,Located
BLOCKED,Hyundai Capital,2019,Hyundai,Elantra,Black,MD-5WV1769,113XDATN5R0NNV5ME,2947 Park St,Annapolis,21387,"39.187721, -76.651386",,,,Blocked
IMP,Regions Bank,2016,Ford,Escape,Black,TX-TBY-5934,8ZEXRME9L32FZRPYY,4909 Maple Blvd,Irving,76150,"32.902396, -96.656226",,Sarah Johnson,,Blocked
BLOCKED,Hyundai Capital,2015,Toyota,Corolla,Red,AZ-ZDM5203,VB09958CVNX9FGLAE,3592 Walnut St,Mesa,85422,"33.488214, -111.95404",,Sarah Rodriguez,"Coords 33.488214, -111.95404",Blocked
GPS,US Bank,2013,Jeep,Grand Cherokee,Red,GA-BFZ5127,ERT31524XB1HAECEZ,1838 Elm Rd,Decatur,30312,"33.671626, -84.308681",John Garcia,John Anderson,,Towed
BLOCKED,Ally Financial,2012,Jeep,Grand Cherokee,Gray,GA-UEJ7113,AKHCA2FWPZP39KLMR,4240 Maple St,Decatur,30094,"33.817744, -84.358177",,Sarah Johnson,,Blocked
GPS,Fifth Third Bank,2020,Jeep,Grand Cherokee,Black,GA-KLE4842,GVENX85YWK0X4LAXS,7245 Elm Rd,Marietta,30070,"33.819895, -84.417109",,William Lee,,Located
BLOCKED,American Credit Acceptance,2024,Hyundai,Elantra,Silver,GA-IER4218,TEEB9B2PCT7K02RVJ,8310 Park St,Sandy Springs,30205,"33.740966, -84.497352",James Thomas,Sarah Johnson,,Blocked
MI,Ally Financial,2014,Honda,Accord,Gray,TX-LBH-8989,RET0RCP0176CCXGUT,9018 Broadway Ave,Garland,75772,"32.856492, -96.859452",,James Brown,"Coords 32.856492, -96.859452",Towed
BLOCKED,TD Auto Finance,2016,Honda,Accord,Gray,MD-TAQ242,5LRE9UPKML0HR3YH7,7948 Maple Ave,Glen Burnie,21663,"39.338339, -76.705286",,John Anderson,,Blocked
BLOCKED,Wells Fargo,2022,Ford,F-150,Blue,TX-QMT-1305,VFP577LR3KM9TLY6E,6296 Walnut Ave,Plano,75223,"32.684472, -96.807505",David Brown,Sarah Rodriguez,"Coords 32.684472, -96.807505",Blocked
IMP,Ally Financial,2021,Ford,F-150,Black,GA-CPV3135,A430C4R71ZG4JT7RF,9902 Park Blvd,Roswell,30133,"33.697255, -84.322713",John Anderson,James Brown,"Coords 33.697255, -84.322713",Towed
DRN,Santander Consumer,2012,Honda,Accord,Gray,MD-IIR533,0U2P37M07TWZ2JHR5,1742 Maple Blvd,Annapolis,21805,"39.244303, -76.594379",,John Anderson,"Coords 39.244303, -76.594379",Dispatched
GPS,Capital One,2018,Ford,F-150,Red,MD-4LC1618,12VDM85ANVNC9RLC0,104 Pine St,Annapolis,21283,"39.328138, -76.635843",Olivia Davis,Olivia Brown,,Located
GPS,Chase Bank,2012,Honda,Accord,Red,TX-LIH-4187,62ATM39GE9VYH9TT5,9326 Chestnut Ave,Arlington,76552,"32.771708, -96.724052",,Maria Thomas,"Coords 32.771708, -96.724052",Towed
IMP,Chase Bank,2013,Toyota,Corolla,Silver,MD-NLQ648,ATSVF2YEM7XZPUMN8,3947 Maple Rd,Annapolis,21212,"39.223549, -76.534662",James Moore,Emily Rodriguez,"Coords 39.223549, -76.534662",Stashed
GPS,Bank of America,2024,Ford,F-150,Black,AZ-YRB8901,0X8U8M9U2RJD47C9Z,2963 Chestnut St,Scottsdale,86431,"33.481372, -112.089522",Sophia Thomas,,,Stashed
DRN,Regions Bank,2021,Kia,Sorento,Black,TX-HIP-6621,0M84P3002U5MJRGUS,7181 Walnut Ave,Garland,75299,"32.89601, -96.736281",,Maria Thomas,,Towed
BLOCKED,US Bank,2018,Ford,F-150,Gray,MD-1MD3676,DPT7G5YT00TZB3HZN,9535 Park Ave,Towson,21800,"39.234076, -76.641731",,,,Blocked
IMP,Fifth Third Bank,2018,Toyota,Camry,Blue,GA-NUT7631,EFLYRXXVU2U5053LM,2148 Maple Rd,Atlanta,30382,"33.825174, -84.479984",,Sarah Johnson,,Stashed
GPS,Ford Motor Credit,2013,Toyota,Camry,Gray,MD-3CU7387,WRSV5JJLBCZX76U5J,3000 Broadway Blvd,Towson,21647,"39.322293, -76.525768",Daniel Garcia,Michael Rodriguez,,Located
GPS,TD Auto Finance,2019,Hyundai,Elantra,Blue,AZ-EJA1001,JZV7A87WA4VRA0N34,4194 Pine Blvd,Scottsdale,86697,"33.432425, -112.107957",,Maria Thomas,,Towed
DRN,Hyundai Capital,2024,Honda,Accord,Green,TX-NGC-3988,JVH65U8NXBKDBMGVU,7283 Main Ave,Plano,75185,"32.720685, -96.817119",,,,Located
DRN,Wells Fargo,2017,Toyota,Corolla,Gray,AZ-CRP3975,NT1AHS15SCN6GP71W,2698 Main St,Glendale,85519,"33.46843, -112.095415",,Sarah Johnson,,Located
IMP,TD Auto Finance,2015,Jeep,Grand Cherokee,Black,MD-4AB8786,K0FSL8FYDDZKGJ8RX,5790 Chestnut Ave,Towson,21022,"39.310957, -76.634785",David Brown,Sarah Rodriguez,,Dispatched
DRN,Ford Motor Credit,2023,Toyota,Corolla,Gray,MD-KXO381,LEK5VT06A91MB0SXE,6448 Maple Blvd,Towson,21785,"39.284779, -76.581262",Sarah Thomas,Olivia Brown,,Towed
GPS,Chase Bank,2013,Toyota,Camry,Blue,AZ-DPG2617,C18TD0REAP8F6D030,4455 Park St,Phoenix,86504,"33.324636, -112.093633",Mia Smith,Sarah Johnson,"Coords 33.324636, -112.093633",Located
IMP,Ford Motor Credit,2023,Toyota,Camry,White,MD-FRX671,3GZ64GLM29YL5ZXX0,7154 Cedar Ave,Glen Burnie,21577,"39.283669, -76.631237",Daniel Rodriguez,Emily Rodriguez,,Located
GPS,SunTrust Auto,2019,Hyundai,Elantra,Gray,AZ-QEJ1107,WRPXBU9KGC6ZKJT0S,4298 Elm St,Mesa,86169,"33.439929, -111.878741",Michael Thomas,Sarah Rodriguez,"Coords 33.439929, -111.878741",Blocked
GPS,GM Financial,2014,Toyota,Corolla,Gray,AZ-CYB6478,Z43HRA1DWCXKX9RKD,7400 Broadway St,Scottsdale,85455,"33.451177, -111.924771",,Maria Thomas,,Towed
BLOCKED,Wells Fargo,2019,Toyota,Camry,Blue,AZ-YWE3209,7N82NSSEU4XFH340Z,5354 Cedar St,Mesa,86577,"33.406687, -111.854322",,Maria Thomas,"Coords 33.406687, -111.854322",Blocked
MI,Wells Fargo,2014,Ford,Escape,Gray,GA-DXB4982,KVAYHW57BYPPPT7KB,9651 Park St,Sandy Springs,30132,"33.69258, -84.428997",Emily Lee,,"Coords 33.69258, -84.428997",Located
GPS,Capital One,2019,Honda,Civic,Red,AZ-DAJ7332,R19GX8FMN96BCSWY8,2672 Main Rd,Scottsdale,86402,"33.42317, -111.981169",,Maria Thomas,,Dispatched
GPS,SunTrust Auto,2022,Honda,Civic,Silver,AZ-MVE2438,1R3SK4WY5JPJNJWJ4,9354 Pine Rd,Mesa,85139,"33.495069, -111.867989",,Maria Thomas,,Towed
IMP,Regions Bank,2023,Ford,F-150,Black,AZ-EYG2749,JMBURRRBZF7J970M1,7863 Pine Ave,Scottsdale,85396,"33.379196, -112.056994",,Maria Thomas,"Coords 33.379196, -112.056994",Dispatched
MI,Santander Consumer,2015,Kia,Sorento,Red,AZ-WKO5043,42C1X2CG56CS2C1DN,7301 Walnut Rd,Glendale,86585,"33.589667, -112.038528",,Sarah Johnson,,Located
IMP,Navy Federal CU,2020,Subaru,Outback,White,MD-WRE502,3X5BM6N6FTXLHFH50,8682 Walnut Ave,Baltimore,21388,"39.284566, -76.70078",Daniel Garcia,,,Located
MI,US Bank,2022,Ford,Escape,Green,AZ-NJJ8311,VMHJNATA688A8SP76,7339 Oak St,Scottsdale,85502,"33.608759, -112.10266",William Moore,Sarah Johnson,"Coords 33.608759, -112.10266",Located
DRN,Wells Fargo,2014,Honda,Civic,White,TX-KCB-2784,3MLVM60CFWX01E4EV,2304 Oak Rd,Arlington,75675,"32.822304, -96.806867",,Sarah Johnson,"Coords 32.822304, -96.806867",Located
GPS,Toyota Financial,2021,Toyota,Camry,Red,MD-6IQ6797,J888MRVNAHB6HP33C,5828 Park Ave,Columbia,21012,"39.301717, -76.565096",,James Brown,,Towed
DRN,Ford Motor Credit,2016,Chevrolet,Malibu,Blue,MD-1FG6415,Y77CJ7K6Y63DWXBPY,1184 Pine Rd,Columbia,21861,"39.185923, -76.50344",,Sarah Rodriguez,"Coords 39.185923, -76.50344",Other
BLOCKED,Ally Financial,2021,Ford,Escape,Gray,TX-INC-9143,S05WPWMH0CNF59B79,3216 Cedar Blvd,Plano,76501,"32.915947, -96.877582",Ava Martinez,Maria Thomas,,Blocked
GPS,Santander Consumer,2022,Honda,Accord,White,MD-1VT2426,Y6CGWBWPXNNVUX5HU,2680 Elm St,Annapolis,21016,"39.362077, -76.592479",Ava Anderson,Michael Rodriguez,,Towed
DRN,US Bank,2017,Honda,Accord,Silver,AZ-TKR8268,DJB7DG1DF42M5ZWYN,1386 Chestnut Ave,Tempe,85191,"33.584498, -111.878109",,Emily Rodriguez,,Towed
IMP,Navy Federal CU,2022,Chevrolet,Malibu,Red,GA-LMF6412,X68BE7HZ76LVZJ9G2,5439 Park St,Atlanta,30156,"33.783186, -84.399796",,Emily Rodriguez,,Located
GPS,SunTrust Auto,2014,Honda,Accord,Gray,TX-ZNS-6606,SME8H6XG5MW2EG1X8,1583 Maple Ave,Dallas,76818,"32.836807, -96.730854",,Emily Rodriguez,"Coords 32.836807, -96.730854",Dispatched
DRN,Ford Motor Credit,2014,Jeep,Grand Cherokee,Gray,TX-GVK-5910,W4ZFA92JVD0DAZHVB,7173 Broadway Blvd,Plano,76281,"32.765894, -96.853679",Olivia Wilson,James Brown,,Dispatched
MI,US Bank,2014,Jeep,Grand Cherokee,Gray,TX-EJV-3056,JAEBK84JFJ364M694,7473 Walnut Rd,Garland,75463,"32.730164, -96.780491",,Michael Rodriguez,,Towed
BLOCKED,Citizens Bank,2020,Subaru,Outback,Silver,TX-WLD-8889,FKU6FFS7EWDYA7697,5531 Walnut Rd,Garland,76968,"32.943995, -96.882776",,John Anderson,,Blocked
GPS,PNC Bank,2024,Subaru,Outback,Blue,AZ-VJZ1447,V8FJ9EUTJUUTAHMK5,2973 Elm Ave,Glendale,85994,"33.363283, -112.015414",Olivia Lee,Olivia Brown,,Stashed
IMP,US Bank,2021,Ford,F-150,Green,MD-XUF315,ZDTHDL627W7R117TK,7222 Main Rd,Towson,21950,"39.331489, -76.629779",William Davis,Michael Rodriguez,,Blocked
IMP,BB&T Auto,2020,Toyota,Camry,Red,MD-IUS500,6SNYMXAAEA3GG5ZRV,3263 Main St,Columbia,21635,"39.197469, -76.512914",,Maria Thomas,"Coords 39.197469, -76.512914",Towed
GPS,Bank of America,2022,Ford,Escape,Black,TX-DWF-5150,V6E6U4XTLEUD11YDT,3015 Chestnut St,Irving,76008,"32.944444, -96.913779",Robert Rodriguez,Sarah Johnson,,Towed
